PrimaryKey,Subj,CRS,Cmp,Sctn,Days,Start_Time,End_Time,Mtg_start_Date,Mtg_End_Date,Duration,Instruction_Mode,Building,Room,Instr,Enrl_Cap,Wait_Cap,Cmbnd_Descr,Cmbnd_Enrl_Cap,Course_Name,start,end
CSE101.1,CSE,101,LEC,1,MWF,11:00:00,11:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,TBA,TBA,Kevin McDonnell,210,70,N/A,N/A,Introduction to Computers,11:00 AM,11:53 AM
CSE101.L01,CSE,101,LAB,L01,M,12:00:00,12:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10,N/A,N/A,Introduction to Computers,12:00 PM,12:53 PM
CSE101.L02,CSE,101,LAB,L02,M,13:00:00,13:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10,N/A,N/A,Introduction to Computers,1:00 PM,1:53 PM
CSE101.L03,CSE,101,LAB,L03,TU,16:00:00,16:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10,N/A,N/A,Introduction to Computers,4:00 PM,4:53 PM
CSE101.L04,CSE,101,LAB,L04,TU,17:30:00,18:23:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10,N/A,N/A,Introduction to Computers,5:30 PM,6:23 PM
CSE101.L05,CSE,101,LAB,L05,W,12:00:00,12:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10,N/A,N/A,Introduction to Computers,12:00 PM,12:53 PM
CSE101.L06,CSE,101,LAB,L06,W,16:00:00,16:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10,N/A,N/A,Introduction to Computers,4:00 PM,4:53 PM
CSE101.L07,CSE,101,LAB,L07,TH,16:00:00,16:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,COMPUTER SCI,2114,Kevin McDonnell,30,10,N/A,N/A,Introduction to Computers,4:00 PM,4:53 PM
CSE114.1,CSE,114,LEC,1,TUTH,16:00:00,17:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Paul Fodor,120,44,N/A,N/A,Introduction to Object-Oriented Programming,4:00 PM,5:20 PM
CSE114.2,CSE,114,LEC,2,TUTH,11:30:00,12:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Praveen Tripathi,120,33,N/A,N/A,Introduction to Object-Oriented Programming,7:00 PM,8:20 PM
CSE114.L01,CSE,114,LAB,L01,MW,19:00:00,20:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,COMPUTER SCI,2116,Paul Fodor,30,11,N/A,N/A,Introduction to Object-Oriented Programming,8:30 AM,9:50 AM
CSE114.L02,CSE,114,LAB,L02,TUTH,8:30:00,9:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,COMPUTER SCI,2116,Paul Fodor,30,11,N/A,N/A,Introduction to Object-Oriented Programming,10:00 AM,11:20 AM
CSE114.L03,CSE,114,LAB,L03,TUTH,10:00:00,11:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,COMPUTER SCI,2116,Paul Fodor,30,11,N/A,N/A,Introduction to Object-Oriented Programming,5:30 PM,6:50 PM
CSE114.L04,CSE,114,LAB,L04,TUTH,17:30:00,18:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,COMPUTER SCI,2116,Paul Fodor,30,11,N/A,N/A,Introduction to Object-Oriented Programming,11:30 AM,12:50 PM
CSE114.L07,CSE,114,LAB,L07,MW,8:30:00,9:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,COMPUTER SCI,2116,Praveen Tripathi,30,11,N/A,N/A,Introduction to Object-Oriented Programming,8:30 AM,9:50 AM
CSE114.L08,CSE,114,LAB,L08,MW,10:00:00,11:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,COMPUTER SCI,2116,Praveen Tripathi,30,11,N/A,N/A,Introduction to Object-Oriented Programming,10:00 AM,11:20 AM
CSE114.L09,CSE,114,LAB,L09,MW,11:30:00,12:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,COMPUTER SCI,2116,Praveen Tripathi,30,11,N/A,N/A,Introduction to Object-Oriented Programming,11:30 AM,12:50 PM
CSE114.L10,CSE,114,LAB,L10,MW,14:30:00,15:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,COMPUTER SCI,2116,Praveen Tripathi,30,0,N/A,N/A,Introduction to Object-Oriented Programming,2:30 PM,3:50 PM
CSE160.1,CSE,160,LEC,1,MW,17:30:00,18:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Paul Fodor,50,0,N/A,N/A,Computer Science A: Honors,5:30 PM,6:50 PM
CSE161.L01,CSE,161,LAB,L01,MW,19:00:00,20:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,COMPUTER SCI,2129,Paul Fodor,35,0,N/A,N/A,Lab for Comp Sci A: Honors,7:00 PM,8:20 PM
CSE214.1,CSE,214,LEC,1,TUTH,8:30:00,9:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Ahmad Esmaili,120,30,N/A,N/A,Data Structures,8:30 AM,9:50 AM
CSE214.2,CSE,214,LEC,2,MWF,11:00:00,11:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,TBA,TBA,Pramod Ganapathi,120,0,N/A,N/A,Data Structures,10:00 AM,10:53 AM
CSE214.R01,CSE,214,REC,R01,RETH,10:00:00,10:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,COMPUTER SCI,2129,Ahmad Esmaili,30,5,N/A,N/A,Data Structures,10:00 AM,10:53 AM
CSE214.R02,CSE,214,REC,R02,RETU,10:00:00,10:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,COMPUTER SCI,2129,Ahmad Esmaili,30,5,N/A,N/A,Data Structures,4:00 PM,4:53 PM
CSE214.R03,CSE,214,REC,R03,RETU,16:00:00,16:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,COMPUTER SCI,2129,Ahmad Esmaili,30,5,N/A,N/A,Data Structures,4:00 PM,4:53 PM
CSE214.R04,CSE,214,REC,R04,RETH,16:00:00,16:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,COMPUTER SCI,2129,Ahmad Esmaili,30,5,N/A,N/A,Data Structures,11:00 AM,11:53 AM
